t (s);sp (cm)
0;10
0,00215589;10
0,012935342;10
0,03054767;10
0,048447234;10
0,066984367;10
0,086708021;10
0,107873258;10
0,130442266;10
0,154431837;10
0,179887497;10
0,206881668;10
0,235513264;10
0,265909201;10
0,298227525;10
0,332662234;10
0,369450069;10
0,408879818;10
0,45130497;10
0,497161018;10
0,546989388;10
0,601471069;10
0,661474858;10
0,728128191;10
0,80292408;10
0,887887812;10
0,985846695;10
1;10
1,070766526;10
1,217500818;10
1,377947123;10
1,590270943;10
1,87117931;10
2;10
2,051385808;10
2,102771617;10
2,175640885;10
2,255133336;10
2,346658208;10
2,453037311;10
2,579454767;10
2,733670557;10
2,928381308;10
3;10
3,035809346;10
3,071618692;10
3,113298346;10
3,157873269;10
3,206217385;10
3,258919834;10
3,316783748;10
3,380834028;10
3,452415852;10
3,533334739;10
3,626081472;10
3,734205463;10
3,862965228;10
4;10
4,035283996;10
4,070567993;10
4,112980525;10
4,158248346;10
4,207417556;10
4,261088656;10
4,320107329;10
4,385553857;10
4,458852799;10
4,541926018;10
4,637440988;10
4,749226637;10
4,883005314;10
5;10
5,030854512;10
5,03382522;10
5,03382522;10
5,064679731;10
5,102116267;10
5,141735764;10
5,184364776;10
5,230404061;10
5,280412037;10
5,335080413;10
5,395289808;10
5,462180873;10
5,537262944;10
5,6225833;10
5,721001294;10
5,836652158;10
5,975771837;10
6;10
6,039457011;10
6,078914022;10
6,124181054;10
6,172950386;10
6,226200815;10
6,284710887;10
6,349542915;10
6,422085193;10
6,504207953;10
6,59849981;10
6,708664693;10
6,840216918;10
7;10
7,035757907;10
7,071515813;10
7,114615226;10
7,160652559;10
7,210723338;10
7,265457507;10
7,32574682;10
7,392734813;10
7,467936807;10
7,553408651;10
7,652022918;10
7,76793604;10
7,907419701;10
8;10
8,037725042;10
8,075450085;10
8,121827936;10
8,171514242;10
8,225894664;10
8,28574681;10
8,352205982;10
8,426753883;10
8,511400064;10
8,608945433;10
8,723431737;10
8,86093758;10
9;10
9,038108222;10
9,076216444;10
9,122755532;10
9,172661302;10
9,227297192;10
9,287455365;10
9,354286092;10
9,429293226;10
9,514519002;10
9,612814478;10
9,728301698;10
9,86719436;10
10;10
10,03323949;10
10,06647897;10
10,10693165;10
10,14992803;10
10,196458;10
10,24703148;10
10,30236938;10
10,36338059;10
10,43124691;10
10,50753668;10
10,59438475;10
10,6947854;10
10,81309084;10
10,95590405;10
11;10
11,03655998;10
11,07311996;10
11,11761295;10
11,16519424;10
11,21708305;10
11,27396875;10
11,33684124;10
11,40697929;10
11,48609415;10
11,57653403;10
11,68162471;10
11,80625715;10
11,95795598;10
12;10
12,03358976;10
12,06717951;10
12,10766094;10
12,15072864;10
12,19733697;10
12,24800261;10
12,30344947;10
12,36459135;10
12,43261681;10
12,50910392;10
12,59620209;10
12,69692798;10
12,81567006;10
12,95909275;10
13;10
13,04105754;10
13,08211508;10
13,13188646;10
13,1855642;10
13,24468763;10
13,31024645;10
13,38368619;10
13,46693602;10
13,56267868;10
13,67476652;10
13,8089612;10
13,97430475;10
14;10
14,03567677;10
14,07135354;10
14,11229344;10
14,15608571;10
14,2035122;10
14,25513849;10
14,31172338;10
14,37423225;10
14,44392581;10
14,52248656;10
14,61221996;10
14,71638498;10
14,83976342;10
15;10
15,03929213;10
15,07858426;10
15,12560929;10
15,17618274;10
15,231596;10
15,29268687;10
15,36065188;10
15,43706372;10
15,52406654;10
15,6246684;10
15,74324393;10
15,88643408;10
16;10
16,03972078;10
16,07944155;10
16,12856496;10
16,18137451;10
16,2394757;10
16,30379625;10
16,37571262;10
16,45705001;10
16,55033346;10
16,65916552;10
16,78889271;10
16,9478296;10
17;10
17,03300687;10
17,06601375;10
17,10694412;10
17,15040453;10
17,19748216;10
17,24869528;10
17,30479077;10
17,36671119;10
17,43568594;10
17,51335204;10
17,6019468;10
17,7046232;10
17,82599039;10
17,9730891;10
18;10
18,04382821;10
18,08765641;10
18,13866739;10
18,19405236;10
18,25518674;10
18,32319269;10
18,3996574;10
18,48672681;10
18,58741538;10
18,7061073;10
18,84945997;10
19;10
19,03348114;10
19,06696228;10
19,10792187;10
19,15146941;10
19,19864214;10
19,24996737;10
19,30619565;10
19,36827565;10
19,43744522;10
19,51535364;10
19,60425656;10
19,70733543;10
19,82924573;10
19,97710746;10
20;10
20,0428864;10
20,0857728;10
20,13496126;10
20,18830165;10
20,2469742;10
20,3119945;10
20,38476979;10
20,46718481;10
20,56185251;10
20,67251493;10
20,80474979;10
20,96727605;10
21;10
21,03706804;10
21,07413609;10
21,11773242;10
21,16445185;10
21,21530803;10
21,2709725;10
21,33237656;10
21,4007213;10
21,47760466;10
21,56520531;10
21,66658532;10
21,78620646;10
21,93085791;10
22;10
22,03826958;10
22,07653916;10
22,12409458;10
22,17507402;10
22,2309967;10
22,29269467;10
22,36140032;10
22,43873151;10
22,52690076;10
22,62902187;10
22,74964055;10
22,89568907;10
23;10
23,04071804;10
23,08143608;10
23,13211426;10
23,18668186;10
23,2468955;10
23,31377258;10
23,3888406;10
23,4741426;10
23,57253695;10
23,68815619;10
23,827232;10
24;10
24,03476581;10
24,06953163;10
24,11178912;10
24,1568322;10
24,20574466;10
24,25911275;10
24,31777004;10
24,38277911;10
24,45553939;10
24,53793577;10
24,63257945;10
24,74321008;10
24,87540129;10
25;10
25,04112785;10
25,08225569;10
25,13234823;10
25,18636985;10
25,24590935;10
25,31197156;10
25,38603227;10
25,47006376;10
25,56681487;10
25,68024319;10
25,81628635;10
26;10
26,03526191;10
26,07052382;10
26,11318902;10
26,15871504;10
26,20818953;10
26,26221991;10
26,32166766;10
26,38763411;10
26,46157407;10
26,54545394;10
26,64200919;10
26,75517694;10
26,89086037;10
27;10
27,04563874;10
27,09127749;10
27,14753676;10
27,20868622;10
27,27687137;10
27,35353072;10
27,44085222;10
27,54186766;10
27,66099896;10
27,80496537;10
28;10
28,03457092;10
28,06914185;10
28,11136917;10
28,15635686;10
28,20520716;10
28,25850178;10
28,31707151;10
28,38197465;10
28,45460458;10
28,53683732;10
28,63127057;10
28,74162257;10
28,87343145;10
29;10
29,04375979;10
29,08751959;10
29,14095433;10
29,19885532;10
29,26307378;10
29,334842;10
29,41599792;10
29,50904778;10
29,61757175;10
29,74687776;10
29,90521354;10
30;10
30,04021483;10
30,08042965;10
30,13142928;10
30,18625369;10
