t (s);u (mA)
0;20
0,00215589;20
0,012935342;20
0,03054767;20
0,048447234;20
0,066984367;20
0,086708021;20
0,107873258;20
0,130442266;20
0,154431837;20
0,179887497;20
0,206881668;20
0,235513264;20
0,265909201;20
0,298227525;20
0,332662234;20
0,369450069;20
0,408879818;20
0,45130497;20
0,497161018;20
0,546989388;20
0,601471069;20
0,661474858;20
0,728128191;20
0,80292408;20
0,887887812;20
0,985846695;20
1;20
1,070766526;20
1,217500818;20
1,377947123;20
1,590270943;20
1,87117931;20
2;20
2,051385808;20
2,102771617;20
2,175640885;20
2,255133336;20
2,346658208;20
2,453037311;20
2,579454767;20
2,733670557;20
2,928381308;20
3;20
3,035809346;20
3,071618692;20
3,113298346;20
3,157873269;20
3,206217385;20
3,258919834;20
3,316783748;20
3,380834028;20
3,452415852;20
3,533334739;20
3,626081472;20
3,734205463;20
3,862965228;20
4;20
4,035283996;20
4,070567993;20
4,112980525;20
4,158248346;20
4,207417556;20
4,261088656;20
4,320107329;20
4,385553857;20
4,458852799;20
4,541926018;20
4,637440988;20
4,749226637;20
4,883005314;20
5;15,330745
5,030854512;19,64932906
5,03382522;20
5,03382522;20
5,064679731;20
5,102116267;20
5,141735764;20
5,184364776;20
5,230404061;20
5,280412037;20
5,335080413;20
5,395289808;20
5,462180873;20
5,537262944;20
5,6225833;20
5,721001294;20
5,836652158;20
5,975771837;20
6;20
6,039457011;20
6,078914022;20
6,124181054;20
6,172950386;20
6,226200815;20
6,284710887;20
6,349542915;20
6,422085193;20
6,504207953;20
6,59849981;20
6,708664693;20
6,840216918;20
7;20
7,035757907;20
7,071515813;20
7,114615226;20
7,160652559;20
7,210723338;20
7,265457507;20
7,32574682;20
7,392734813;20
7,467936807;20
7,553408651;20
7,652022918;20
7,76793604;20
7,907419701;20
8;20
8,037725042;20
8,075450085;20
8,121827936;20
8,171514242;20
8,225894664;20
8,28574681;20
8,352205982;20
8,426753883;20
8,511400064;20
8,608945433;20
8,723431737;20
8,86093758;20
9;20
9,038108222;20
9,076216444;20
9,122755532;20
9,172661302;20
9,227297192;20
9,287455365;20
9,354286092;20
9,429293226;20
9,514519002;20
9,612814478;20
9,728301698;20
9,86719436;20
10;20
10,03323949;20
10,06647897;20
10,10693165;20
10,14992803;20
10,196458;20
10,24703148;20
10,30236938;20
10,36338059;20
10,43124691;20
10,50753668;20
10,59438475;20
10,6947854;20
10,81309084;20
10,95590405;20
11;20
11,03655998;20
11,07311996;20
11,11761295;20
11,16519424;20
11,21708305;20
11,27396875;20
11,33684124;20
11,40697929;20
11,48609415;20
11,57653403;20
11,68162471;20
11,80625715;20
11,95795598;20
12;20
12,03358976;20
12,06717951;20
12,10766094;20
12,15072864;20
12,19733697;20
12,24800261;20
12,30344947;20
12,36459135;20
12,43261681;20
12,50910392;20
12,59620209;20
12,69692798;20
12,81567006;20
12,95909275;20
13;20
13,04105754;20
13,08211508;20
13,13188646;20
13,1855642;20
13,24468763;20
13,31024645;20
13,38368619;20
13,46693602;20
13,56267868;20
13,67476652;20
13,8089612;20
13,97430475;20
14;20
14,03567677;20
14,07135354;20
14,11229344;20
14,15608571;20
14,2035122;20
14,25513849;20
14,31172338;20
14,37423225;20
14,44392581;20
14,52248656;20
14,61221996;20
14,71638498;20
14,83976342;20
15;20
15,03929213;20
15,07858426;20
15,12560929;20
15,17618274;20
15,231596;20
15,29268687;20
15,36065188;20
15,43706372;20
15,52406654;20
15,6246684;20
15,74324393;20
15,88643408;20
16;20
16,03972078;20
16,07944155;20
16,12856496;20
16,18137451;20
16,2394757;20
16,30379625;20
16,37571262;20
16,45705001;20
16,55033346;20
16,65916552;20
16,78889271;20
16,9478296;20
17;20
17,03300687;20
17,06601375;20
17,10694412;20
17,15040453;20
17,19748216;20
17,24869528;20
17,30479077;20
17,36671119;20
17,43568594;20
17,51335204;20
17,6019468;20
17,7046232;20
17,82599039;20
17,9730891;20
18;20
18,04382821;20
18,08765641;20
18,13866739;20
18,19405236;20
18,25518674;20
18,32319269;20
18,3996574;20
18,48672681;20
18,58741538;20
18,7061073;20
18,84945997;20
19;20
19,03348114;20
19,06696228;20
19,10792187;20
19,15146941;20
19,19864214;20
19,24996737;20
19,30619565;20
19,36827565;20
19,43744522;20
