t (s);y (cm)
0;0,634664875
1;0,634664875
2;0,659980525
3;1,0352638
4;1,378092787
5;2,019473138
6;2,273473198
7;2,590772973
8;2,813385397
9;3,032692301
10;3,461576749
11;3,733539034
12;4,161825
13;4,321471074
14;4,731564504
15;4,9412962
16;5,110355132
17;5,514210976
18;5,657832974
19;6,061431302
20;6,232703118
21;6,5347696
22;6,731814726
23;6,877381488
24;7,225439823
25;7,380104029
26;7,712864725
27;7,801877532
28;8,150763175
29;8,264586505
30;8,405186591
31;8,62637652
32;8,762336854
33;9,055530498
34;9,160203376
35;9,392103737
36;9,544030978
37;9,669072152
38;9,890718561
39;10,07222343
40;10,26281126
41;10,33351678
42;10,55481697
43;10,69265618
44;10,8177795
45;10,98662288
46;11,0870024
47;11,26386392
48;11,36251328
49;11,60137445
50;11,66600483
51;11,7411536
52;11,9545
53;12,02874384
54;12,20826767
55;12,2713966
56;12,40782931
57;12,4706605
58;12,53341873
59;12,65875671
60;12,70049415
61;12,84646918
62;12,90900189
63;13,0028
64;13,06534616
65;13,13834656
66;13,24271912
67;13,32631835
68;13,43098316
69;13,4833981
70;13,54637946
71;13,57790723
72;13,59894033
73;13,6305128
74;13,6305128
75;13,61998554
76;13,59894033
77;13,525375
78;13,4833981
79;13,44146141
80;13,33677591
81;13,24271912
82;13,03407083
83;12,9402668
84;12,76307132
85;12,66919273
86;12,59611409
87;12,40782931
88;12,31342361
89;12,11335533
90;12,01814992
91;11,83739726
92;11,7411536
93;11,64448421
94;11,46060422
95;11,36251328
96;11,17567923
97;11,06475349
98;10,863
99;10,76104681
100;10,65833051
101;10,47373343
102;10,35699556
103;10,15597805
104;10,0481846
105;9,841834177
106;9,718701651
107;9,619223025
108;9,392103737
109;9,27676825
110;9,055530498
111;8,976356275
112;8,923249004
113;8,856494637
114;8,7758386
115;8,6400504
116;8,571505825
117;8,530167558
118;8,530167558
119;8,488669106
120;8,474800474
121;8,433086475
122;8,433086475
123;8,433086475
124;8,447009205
125;8,460913855
126;8,474800474
127;8,488669106
128;8,516352602
129;8,585249869
130;8,61268517
131;8,667345934
132;8,694572147
133;8,7758386
134;8,816242289
135;8,869878673
136;8,963103955
137;8,989592341
138;9,055530498
139;9,121069325
140;9,263877931
141;9,328178214
142;9,340993113
143;9,404844386
144;9,45566035
145;9,594215165
146;9,631706061
147;9,706314702
148;9,755781445
149;9,817313742
150;9,890718561
151;9,951534494
152;10,01203417
153;10,06021013
154;10,12015528
155;10,1678952
156;10,19169413
157;10,26281126
158;10,29821484
159;10,35699556
160;10,39213092
161;10,427168
162;10,45047208
163;10,47373343
164;10,50854613
165;10,53170227
166;10,55481697
167;10,56635891
168;10,58941217
169;10,58941217
170;10,6009236
171;10,6009236
172;10,61242495
173;10,6009236
174;10,61242495
175;10,6009236
176;10,6009236
177;10,57789063
178;10,56635891
179;10,55481697
180;10,54326477
181;10,53170227
182;10,49695241
183;10,47373343
184;10,46210808
185;10,43882541
186;10,41549981
187;10,39213092
188;10,36871835
189;10,33351678
190;10,29821484
191;10,286425
192;10,25098726
193;10,22730478
194;10,19169413
195;10,1678952
196;10,13210813
197;10,10819043
198;10,09621353
199;10,06021013
200;10,0481846
201;10,01203417
202;9,987871875
203;9,951534494
204;9,939396796
205;9,9272464
206;9,91508326
207;9,90290733
208;9,854074763
209;9,841834177
210;9,829580518
211;9,817313742
212;9,817313742
213;9,8050338
214;9,792740646
215;9,768114515
216;9,755781445
217;9,755781445
218;9,768114515
219;9,755781445
220;9,743434975
221;9,743434975
222;9,755781445
223;9,755781445
224;9,755781445
225;9,743434975
226;9,755781445
227;9,780434234
228;9,780434234
229;9,780434234
230;9,780434234
231;9,780434234
232;9,792740646
233;9,8050338
234;9,817313742
235;9,829580518
236;9,841834177
237;9,841834177
238;9,841834177
239;9,854074763
240;9,878516909
241;9,890718561
242;9,90290733
243;9,91508326
244;9,91508326
245;9,9272464
246;9,939396796
247;9,951534494
248;9,951534494
249;9,963659543
250;9,975771987
251;9,987871875
252;9,999959253
253;9,999959253
254;10,01203417
255;10,02409667
256;10,0481846
257;10,06021013
258;10,06021013
259;10,06021013
260;10,06021013
261;10,07222343
262;10,08422455
263;10,08422455
264;10,08422455
265;10,08422455
266;10,09621353
267;10,10819043
268;10,10819043
269;10,10819043
270;10,10819043
271;10,09621353
272;10,09621353
273;10,09621353
274;10,09621353
275;10,09621353
276;10,09621353
277;10,09621353
278;10,09621353
279;10,08422455
280;10,09621353
281;10,09621353
282;10,09621353
283;10,08422455
284;10,07222343
285;10,07222343
286;10,07222343
287;10,07222343
288;10,06021013
289;10,06021013
290;10,0481846
291;10,0481846
292;10,0481846
293;10,03614679
294;10,02409667
295;10,03614679
296;10,02409667
297;10,01203417
298;10,01203417
299;10,01203417
300;9,999959253
301;9,999959253
302;9,999959253
303;9,999959253
304;9,975771987
305;9,987871875
306;9,975771987
307;9,987871875
308;9,987871875
309;9,975771987
310;9,975771987
311;9,963659543
312;9,963659543
313;9,963659543
314;9,963659543
315;9,963659543
316;9,963659543
317;9,951534494
318;9,951534494
319;9,963659543
320;9,963659543
321;9,963659543
322;9,963659543
323;9,963659543
324;9,951534494
325;9,951534494
326;9,963659543
327;9,963659543
328;9,951534494
329;9,975771987
330;9,963659543
331;9,963659543
332;9,951534494
333;9,963659543
334;9,987871875
335;9,987871875
336;9,975771987
337;9,963659543
338;9,975771987
339;9,975771987
340;9,987871875
341;9,987871875
342;9,987871875
343;9,975771987
344;9,987871875
345;9,975771987
346;9,999959253
347;9,999959253
348;9,987871875
349;9,999959253
350;9,999959253
351;9,999959253
352;9,999959253
353;10,01203417
354;9,999959253
355;10,01203417
356;9,999959253
357;10,01203417
358;10,01203417
359;9,999959253
360;10,01203417
361;10,02409667
362;10,02409667
363;10,01203417
364;10,01203417
365;10,01203417
366;10,02409667
367;10,02409667
368;10,02409667
369;10,01203417
370;10,01203417
371;10,01203417
372;10,01203417
373;10,01203417
374;10,02409667
375;10,01203417
376;9,999959253
377;9,999959253
378;10,01203417
379;10,02409667
380;10,01203417
381;9,999959253
382;9,999959253
383;9,999959253
384;10,01203417
385;10,01203417
386;10,01203417
387;10,01203417
388;10,01203417
389;10,01203417
390;10,01203417
391;10,01203417
392;10,01203417
393;10,01203417
394;10,01203417
395;9,999959253
396;9,999959253
397;10,01203417
398;9,999959253
399;9,999959253
400;9,999959253
401;9,999959253
402;9,999959253
403;10,01203417
404;9,999959253
405;9,987871875
406;9,999959253
407;9,999959253
408;9,999959253
409;9,987871875
410;9,987871875
411;9,999959253
412;9,987871875
413;9,999959253
414;9,999959253
415;9,999959253
416;9,987871875
417;9,999959253
418;9,987871875
419;9,987871875
420;9,999959253
421;9,999959253
422;9,987871875
423;9,987871875
424;9,975771987
425;9,987871875
426;9,987871875
427;9,999959253
428;9,999959253
429;9,999959253
430;9,987871875
431;9,975771987
432;9,987871875
433;9,999959253
434;9,999959253
435;9,999959253
436;9,999959253
437;9,987871875
438;9,987871875
439;9,987871875
440;10,01203417
441;10,02409667
442;10,01203417
443;9,987871875
444;9,987871875
445;9,999959253
446;10,01203417
447;9,999959253
448;9,999959253
449;9,999959253
450;9,999959253
451;9,999959253
452;9,999959253
453;9,999959253
454;9,999959253
455;9,999959253
456;9,999959253
457;9,987871875
458;9,999959253
459;9,999959253
460;9,987871875
461;9,987871875
462;9,999959253
463;9,999959253
464;9,999959253
465;9,987871875
466;9,987871875
467;9,999959253
468;9,999959253
469;9,999959253
470;9,999959253
471;9,999959253
472;9,999959253
473;9,987871875
474;9,987871875
475;9,999959253
476;9,999959253
477;9,987871875
478;9,999959253
479;9,999959253
480;9,999959253
481;10,01203417
482;9,999959253
483;9,999959253
484;9,999959253
485;9,999959253
486;10,01203417
487;9,999959253
488;9,999959253
489;9,999959253
490;9,999959253
491;9,999959253
492;10,01203417
493;10,01203417
494;10,01203417
495;10,01203417
496;10,01203417
497;10,01203417
